disease_name,symptoms
Hyperthyroidism,"weight loss, rapid heartbeat, increased appetite, nervousness, tremor, sweating, changes in menstrual patterns, fatigue"
Graves Disease,"anxiety, irritability, tremor, heat sensitivity, weight loss, enlarged thyroid, frequent bowel movements, bulging eyes"
Hashimoto's Disease,"fatigue, weight gain, constipation, dry skin, hair loss, muscle weakness, depression, memory lapses"
Addison's Disease,"fatigue, muscle weakness, weight loss, decreased appetite, darkening of skin, low blood pressure, salt craving, nausea"
Cushing's Syndrome,"weight gain, fatty deposits (especially around midsection and upper back), purple stretch marks, thinning skin, slow healing, acne, fatigue, muscle weakness"
Multiple Sclerosis,"numbness or weakness in limbs, electric shock sensations, tremor, unsteady gait, vision problems, slurred speech, fatigue, dizziness"
Fibromyalgia,"widespread pain, fatigue, cognitive difficulties (fibro fog), sleep disturbances, headaches, depression, anxiety"
Chronic Fatigue Syndrome,"severe fatigue, unrefreshing sleep, difficulty concentrating, muscle pain, joint pain, headaches, sore throat, tender lymph nodes"
Gout,"intense joint pain, inflammation, redness, limited range of motion"
Psoriasis,"red patches of skin covered with silvery scales, dry cracked skin, itching, burning, soreness, thickened nails"
Eczema,"itchy skin, red to brownish patches, small raised bumps, dry scaly skin, sensitive skin, inflamed skin"
Rosacea,"facial redness, swollen red bumps, eye problems, enlarged nose"
Acne,"whiteheads, blackheads, pimples, cystic lesions, oily skin"
Vitiligo,"loss of skin color in patches, premature whitening of hair, loss of color in tissues inside mouth"
Alopecia,"hair loss, bald patches, complete baldness"
Sickle Cell Disease,"anemia, pain crises, swelling of hands and feet, frequent infections, delayed growth, vision problems"
Hemophilia,"excessive bleeding, large bruises, joint pain and swelling, blood in urine or stool, nosebleeds"
Cystic Fibrosis,"persistent cough with thick mucus, wheezing, shortness of breath, poor growth, weight gain difficulties, frequent lung infections, greasy stools"
Down Syndrome,"flattened face, small head, short neck, protruding tongue, upward slanting eyes, poor muscle tone, short height, intellectual disability"
Autism Spectrum Disorder,"difficulty with communication, difficulty with social interactions, obsessive interests, repetitive behaviors"
ADHD,"inattention, hyperactivity, impulsivity, difficulty focusing, disorganization, forgetfulness, fidgeting"
Dyslexia,"late talking, learning new words slowly, difficulty reading, difficulty spelling, avoiding reading activities"
Monkeypox,"fever, headache, muscle aches, backache, swollen lymph nodes, chills, exhaustion, rash that becomes pustular"
West Nile Virus,"fever, headache, body aches, joint pains, vomiting, diarrhea, rash"
Whooping Cough,"runny nose, nasal congestion, sneezing, mild cough, severe coughing fits, vomiting after coughing, exhaustion after coughing"
Diphtheria,"thick gray coating in throat or nose, sore throat, fever, swollen glands, weakness, difficulty breathing, difficulty swallowing"
Scarlet Fever,"red rash, fever, sore throat, strawberry tongue, facial flushing, body aches"
Shingles,"pain, burning or tingling, sensitivity to touch, red rash, fluid-filled blisters, itching"
Mononucleosis,"fatigue, sore throat, fever, swollen lymph nodes, swollen tonsils, headache, skin rash"
Chronic Kidney Disease,"nausea, vomiting, loss of appetite, fatigue, sleep problems, decreased urine output, muscle twitches, swelling of feet and ankles"
Glaucoma,"patchy blind spots, tunnel vision, severe headache, eye pain, nausea, blurred vision, halos around lights"
Cataracts,"clouded vision, difficulty seeing at night, sensitivity to light, seeing halos around lights, fading of colors, double vision"
Macular Degeneration,"blurred central vision, dark or empty areas in central vision, distorted vision"
Tinnitus,"ringing in ears, buzzing, roaring, clicking, hissing, humming"
Sleep Apnea,"loud snoring, gasping for air during sleep, morning headache, difficulty staying asleep, excessive daytime sleepiness, irritability"
Narcolepsy,"excessive daytime sleepiness, sudden loss of muscle tone, sleep paralysis, hallucinations, changes in sleep patterns"
Restless Leg Syndrome,"uncomfortable sensations in legs, urge to move legs, symptoms worse at rest, symptoms improve with movement, symptoms worse in evening"
Osteoporosis,"back pain, loss of height, stooped posture, bone fractures that occur easily"
Sepsis,"fever, increased heart rate, increased breathing rate, confusion, extreme pain, shortness of breath"
Appendicitis,"sudden pain near navel moving to lower right abdomen, pain that worsens with movement, nausea, vomiting, loss of appetite, low-grade fever"
Diverticulitis,"persistent abdominal pain, nausea, vomiting, fever, constipation, diarrhea"
GERD (Acid Reflux),"heartburn, regurgitation of food or sour liquid, difficulty swallowing, chest pain, sensation of lump in throat, chronic cough"
Peptic Ulcer,"burning stomach pain, feeling of fullness, bloating, nausea, intolerance to fatty foods, heartburn"
Endometriosis,"painful periods, pain during intercourse, pain with bowel movements, pain with urination, excessive bleeding, infertility, fatigue"
PCOS (Polycystic Ovary Syndrome),"irregular periods, excess androgen, acne, male-pattern baldness, polycystic ovaries, weight gain, difficulty getting pregnant"
Preeclampsia,"high blood pressure, protein in urine, severe headaches, changes in vision, upper abdominal pain, nausea, decreased urine output"
Gestational Diabetes,"increased thirst, frequent urination, fatigue, nausea, blurred vision, frequent infections"
Postpartum Depression,"depressed mood, severe mood swings, excessive crying, difficulty bonding with baby, withdrawal from family, loss of appetite, insomnia, intense irritability, fear of harming self or baby"
Carpal Tunnel Syndrome,"numbness, tingling, weakness in hand, pain in hand and arm, shock-like sensations in fingers"
Tennis Elbow,"pain and tenderness on outside of elbow, weak grip strength, worsening pain when gripping objects"
Plantar Fasciitis,"stabbing pain in bottom of foot near heel, pain worse with first steps after waking, pain after standing or sitting"
Sciatica,"pain radiating from lower back through buttock and down leg, numbness, tingling, muscle weakness in affected leg"
Herniated Disc,"arm or leg pain, numbness or tingling, weakness"
Spinal Stenosis,"numbness or tingling in hand or foot, weakness in hand or foot, pain in lower back, sciatica, foot drop"
Bell's Palsy,"sudden weakness in facial muscles, drooping of one side of face, drooling, difficulty closing eye, loss of taste"
Trigeminal Neuralgia,"electric shock-like pain in face, episodes of severe facial pain, pain triggered by touching face or chewing"
Temporomandibular Joint Disorder,"jaw pain, difficulty chewing, clicking sound when opening mouth, locking of jaw joint, ear pain"
Gingivitis,"swollen gums, red gums, tender gums, bleeding gums, receding gums, bad breath"
Periodontal Disease,"swollen gums, bright red or purple gums, tender gums, bleeding gums, bad breath, loose teeth, painful chewing, new spaces between teeth"
Tooth Decay,"toothache, sensitivity to hot or cold, visible holes in teeth, brown or black staining, pain when biting down"
Oral Thrush,"white lesions on tongue and inner cheeks, redness, soreness, difficulty swallowing, loss of taste"
Cold Sores,"tingling sensation before sores appear, small fluid-filled blisters, oozing and crusting, pain, itching"
Canker Sores,"painful sores inside mouth, tingling sensation before sores appear, round or oval sores with white or yellow center"
Ringworm,"itchy circular rash, raised edges, red scaly skin, blisters"
Athlete's Foot,"itching, stinging, burning between toes, itchy blisters on feet, cracking and peeling skin, dry skin on soles"
Jock Itch,"itching in groin area, red circular rash with elevated edges, burning sensation, flaking or cracking skin"
Scabies,"intense itching especially at night, thin irregular burrow tracks, rash, sores from scratching"
Lice,"intense itching, tickling feeling of something moving in hair, sores on scalp from scratching, irritability"
Bed Bugs,"red itchy welts, small blood stains on sheets, dark spots on bedding, musty odor"
Frostbite,"numbness, white or grayish-yellow skin, hard or waxy skin, clumsiness, blistering after rewarming"
Heat Stroke,"high body temperature, altered mental state, nausea, flushed skin, rapid breathing, racing heart, headache"
Heat Exhaustion,"heavy sweating, weakness, cold clammy skin, fast weak pulse, nausea, vomiting, muscle cramps, dizziness, headache"
Dehydration,"thirst, dry mouth, tired or sleepy, decreased urine output, dark colored urine, dry skin, headache, dizziness"
Malnutrition,"weight loss, tiredness, irritability, inability to concentrate, feeling cold, depression, reduced immune function, longer healing time"
Leptospirosis,"fever, headache, muscle aches, vomiting, diarrhea, abdominal pain, jaundice, red eyes, rash"
Poliomyelitis (Post-Polio Syndrome),"progressive muscle weakness, fatigue, muscle and joint pain, breathing or swallowing problems, sleep apnea"
Meningococcemia,"fever, headache, stiff neck, nausea, vomiting, sensitivity to light, confusion, skin rash (purpura/petechiae)"
Toxic Shock Syndrome,"sudden high fever, low blood pressure, vomiting, diarrhea, rash resembling sunburn, confusion, muscle aches"
Shigellosis,"bloody diarrhea, fever, abdominal pain, tenesmus (painful straining to pass stool)"
Giardiasis,"watery diarrhea, gas, greasy stools, stomach cramps, nausea, dehydration, weight loss"
Hookworm Infection,"anemia, fatigue, iron deficiency, abdominal pain, loss of appetite, weight loss"
Filariasis (Elephantiasis),"swelling of limbs or genitals, skin thickening, fever, chills, chronic pain"
Chagas Disease,"fever, fatigue, body aches, headache, rash, loss of appetite, swelling at the infection site (Romaña's sign)"
Rocky Mountain Spotted Fever,"fever, headache, rash (usually starts on wrists/ankles), nausea, vomiting, abdominal pain, muscle pain"
Lyme Neuroborreliosis,"facial palsy, numbness, shooting pains, cognitive problems (memory, concentration), radiculopathy"
Wegener's Granulomatosis (Granulomatosis with Polyangiitis),"persistent runny nose, nosebleeds, sinus pain, cough, shortness of breath, joint pain, fatigue, fever"
Sarcoidosis,"fatigue, swollen lymph nodes, cough, shortness of breath, skin lesions (erythema nodosum), joint pain, eye redness"
Amyotrophic Lateral Sclerosis (ALS),"muscle weakness in hands/feet, slurred speech, difficulty swallowing, muscle twitching, cramping, stiffness"
Muscular Dystrophy (Duchenne),"frequent falls, difficulty rising from lying/sitting, waddling gait, large calves, muscle pain, learning disabilities"
Cerebral Palsy,"exaggerated reflexes, floppy or rigid limbs, involuntary movements, difficulty walking, speech and swallowing problems"
Tardive Dyskinesia,"involuntary, repetitive movements of the face, tongue, lips, trunk, and extremities"
Tourette Syndrome,"involuntary movements (motor tics) and sounds (vocal tics), often repetitive and rapid"
Attention-Deficit/Hyperactivity Disorder (ADHD) - Adult,"difficulty focusing, impulsivity, poor time management, mood swings, disorganization, restlessness"
Obsessive-Compulsive Disorder (OCD),"obsessions (unwanted, intrusive thoughts) and compulsions (repetitive behaviors to reduce anxiety), checking, cleaning"
Post-Traumatic Stress Disorder (PTSD),"flashbacks, nightmares, severe anxiety, intrusive memories, avoidance of reminders, emotional numbness"
Borderline Personality Disorder (BPD),"fear of abandonment, unstable relationships, rapid mood swings, impulsive behavior, chronic feelings of emptiness, self-harm"
Pica,"persistent eating of non-food substances (e.g., dirt, paint chips, ice, hair) for at least one month"
Anorexia Nervosa,"extremely restricted eating, intense fear of gaining weight, distorted body image, low body weight, absent menstruation, fatigue"
Bulimia Nervosa,"recurrent episodes of binge eating followed by compensatory behaviors (vomiting, laxatives, excessive exercise), preoccupation with body shape/weight"
Binge Eating Disorder,"recurrent episodes of eating large amounts of food rapidly, feeling a lack of control, eating past fullness, distress"
Sleep Terrors (Night Terrors),"sudden awakening in terror, screaming, rapid heart rate, sweating, inconsolable, not fully awake, little memory of event"
Chronic Insomnia,"difficulty falling asleep, difficulty staying asleep, waking too early, unrefreshing sleep, daytime fatigue, irritability"
Bunion,"bony bump at the base of the big toe, pain, swelling, redness, difficulty wearing shoes"
Achilles Tendinitis,"pain and stiffness along the Achilles tendon (often worse in the morning), pain that worsens with activity"
Rotator Cuff Tear,"pain in shoulder (especially when lifting or lowering arm), weakness, clicking sound when moving shoulder"
Hernia (Inguinal),"bulge in the groin or scrotum, pain when bending or coughing, heavy or dragging sensation"
Endometriosis (Severe),"chronic pelvic pain, pain during periods that interferes with daily life, pain during sex, heavy bleeding, infertility"
Uterine Fibroids,"heavy menstrual bleeding, prolonged periods, pelvic pain or pressure, frequent urination, constipation, backache"
Pelvic Inflammatory Disease (PID),"pain in lower abdomen/pelvis, heavy vaginal discharge with odor, fever, pain during sex, burning during urination"
Cervical Cancer,"abnormal vaginal bleeding (between periods, after sex, post-menopause), pelvic pain, pain during intercourse, watery discharge"
Testicular Cancer,"lump or enlargement in either testicle, feeling of heaviness in scrotum, dull ache in groin or abdomen, fluid collection"
Benign Prostatic Hyperplasia (BPH),"frequent urination, urgency to urinate, weak urine stream, difficulty starting urination, nocturia (waking at night to urinate)"
Myasthenia Gravis,"muscle weakness that worsens with activity and improves with rest, drooping eyelid, double vision, difficulty swallowing, slurred speech"
Lambert-Eaton Myasthenic Syndrome (LEMS),"weakness in upper legs and hips, difficulty walking, dry mouth, blurred vision, difficulty swallowing, diminished reflexes"
Guillain-Barré Syndrome,"tingling and weakness starting in feet/legs and spreading to upper body, unsteady gait, severe pain, rapid heart rate, breathing difficulty"
Carpal Tunnel Syndrome (Severe),"constant numbness/tingling, muscle wasting at the base of the thumb, significant hand weakness, inability to grasp small objects"
Multiple Myeloma,"bone pain (especially back or ribs), fatigue, frequent infections, kidney problems, unexplained fractures, weakness"
Hodgkin Lymphoma,"painless swelling of lymph nodes (neck, armpit, groin), fever, night sweats, weight loss, itching"
Non-Hodgkin Lymphoma,"swollen lymph nodes, abdominal swelling or pain, chest pain, coughing, shortness of breath, fever, night sweats, weight loss"
Sarcoma (Soft Tissue),"painless lump or swelling, pain or soreness if the tumor presses on nerves or muscles, growth of a lump over time"
Thyroiditis (Subacute/De Quervain's),"neck pain (often radiating to jaw/ear), fever, fatigue, symptoms of hyperthyroidism followed by hypothyroidism"
Parathyroid Disease (Hyperparathyroidism),"fatigue, bone pain, depression, increased thirst, frequent urination, kidney stones, nausea"
Hypoparathyroidism,"tingling/burning in fingertips/toes/lips, muscle aches or cramps, twitching/spasms, fatigue, dry skin, brittle nails"
Scurvy (Vitamin C Deficiency),"fatigue, gum inflammation, easy bruising, joint and muscle aches, dry skin, poor wound healing"
Rickets (Vitamin D Deficiency in Children),"delayed growth, bow legs, painful spine/pelvis/legs, muscle weakness, soft skull bones"
Obesity,"excess body fat, shortness of breath, fatigue, joint pain, snoring, daytime sleepiness, increased risk of chronic diseases"
Anaphylaxis,"hives, flushed skin, swelling of the throat/tongue, wheezing, difficulty breathing, rapid/weak pulse, nausea, vomiting, dizziness/fainting"
Shock (Hypovolemic),"rapid, shallow breathing, rapid, weak heart rate, low blood pressure, pale/cool skin, confusion, low urine output"
Hemochromatosis (Iron Overload),"joint pain, fatigue, weakness, abdominal pain, irregular heart rhythm, weight loss, loss of body hair"
Wilson's Disease (Copper Overload),"fatigue, jaundice, swelling in legs/abdomen, tremors, difficulty walking/swallowing/speaking, uncontrolled movements"
Aneurysm (Cerebral),"severe, sudden headache ('thunderclap'), nausea, vomiting, stiff neck, blurred vision, sensitivity to light, loss of consciousness"
Coronary Artery Disease (CAD),"chest pain (angina), shortness of breath, fatigue, pain in the arms, neck, jaw, or back"
Aortic Stenosis,"chest pain, fainting (syncope), shortness of breath (especially on exertion), heart palpitations, fatigue"
Atrial Fibrillation (AFib),"heart palpitations (fluttering), shortness of breath, chest pain, dizziness, fatigue"
Deep Vein Thrombosis (DVT),"swelling in the affected leg, pain or tenderness (often starting in the calf), warmth over the affected area, red or discolored skin"
Pulmonary Embolism (PE),"sudden shortness of breath, chest pain (worse with deep breath), coughing up blood, rapid or irregular heartbeat, dizziness"
Pneumothorax (Collapsed Lung),"sudden chest pain, shortness of breath, rapid heart rate, low blood pressure"
Emphysema,"shortness of breath, chronic mild cough, wheezing, reduced exercise tolerance, feeling of constant fatigue"
Bronchitis (Acute),"cough (often with mucus), chest congestion, shortness of breath, low-grade fever, fatigue"
Allergies (Seasonal/Hay Fever),"sneezing, runny nose, itchy or watery eyes, congestion, itchy throat or ears"
Hives (Urticaria),"raised, itchy welts on the skin that can vary in size and shape, often appearing and fading repeatedly"
Anaphylaxis (Severe Allergy),"hives, flushed skin, swelling of the throat/tongue, wheezing, difficulty breathing, rapid/weak pulse, nausea, dizziness"
Pneumonia (Atypical/Walking),"mild fever, dry cough, headache, sore throat, fatigue, gradually worsening respiratory symptoms"
Legionnaires' Disease,"high fever, chills, cough, muscle aches, headache, confusion, diarrhea, nausea, vomiting"
Hantavirus Pulmonary Syndrome,"fatigue, fever, muscle aches (especially thighs, back, and shoulders), headache, dizziness, followed by shortness of breath and coughing"
Toxoplasmosis,"mild flu-like symptoms (fever, body aches, swollen lymph nodes), headache; often asymptomatic in healthy adults"
Candidiasis (Thrush/Yeast Infection),"white patches on the tongue/cheeks, sore throat, difficulty swallowing, redness/itching in genital area, thick white discharge"
Systemic Inflammatory Response Syndrome (SIRS),"body temperature >$38^\circ\text{C}$ or <$36^\circ\text{C}$, heart rate >90 bpm, respiratory rate >20 breaths/min or $\text{PaCO}_2 < 32 \text{ mmHg}$, abnormal white blood cell count"
Burnout Syndrome,"exhaustion, cynicism, reduced professional efficacy, difficulty concentrating, irritability, sleep problems"
Seasonal Affective Disorder (SAD),"depression that occurs and ends at the same time every year (usually winter), low energy, oversleeping, craving carbohydrates"
Generalized Anxiety Disorder (GAD),"persistent and excessive worry, restlessness, fatigue, difficulty concentrating, muscle tension, sleep disturbances"
Social Anxiety Disorder,"intense fear of social situations, fear of being judged, blushing, sweating, trembling, nausea, avoiding social events"
Panic Disorder,"recurrent unexpected panic attacks, sudden episodes of intense fear, chest pain, rapid heart rate, feeling of losing control, shortness of breath"
Agoraphobia,"intense fear and avoidance of places or situations that might cause panic, helplessness, or embarrassment (e.g., open spaces, crowds)"
Tricuspid Atresia (Congenital Heart Defect),"cyanosis (blue tint to skin), shortness of breath, fatigue, poor feeding, slow growth"
Cleft Lip and Palate (Congenital Anomaly),"a separation or split in the upper lip and/or roof of the mouth, feeding difficulties, speech problems, ear infections"
Spina Bifida (Neural Tube Defect),"visible sac on the baby's back, muscle weakness, loss of bladder/bowel control, orthopedic problems"
Phenylketonuria (PKU - Metabolic),"intellectual disability, seizures, behavioral problems, fair skin and hair, musty body odor"
Tay-Sachs Disease (Metabolic),"loss of motor skills, exaggerated startle reaction, cherry-red spot in the eye, deafness, blindness, paralysis"
Marfan Syndrome (Connective Tissue),"tall and slender build, disproportionately long arms/legs/fingers, curved spine, heart murmurs, crowded teeth, extreme nearsightedness"
Ehlers-Danlos Syndromes (Connective Tissue),"hypermobile joints, stretchy skin, fragile skin, easy bruising, chronic joint pain"
Sjögren's Syndrome (Autoimmune),"severe dry eyes, severe dry mouth, fatigue, joint pain, swollen salivary glands"
Systemic Sclerosis (Scleroderma - Autoimmune),"thickening and tightening of the skin, Raynaud's phenomenon, joint pain, digestive problems, shortness of breath"
Pemphigus Vulgaris (Autoimmune Skin Disease),"painful blisters and sores on the skin and mucous membranes (mouth, genitals)"
Addisonian Crisis (Acute Adrenal Insufficiency),"sudden, penetrating pain in the legs, lower back, or abdomen, severe vomiting, diarrhea, low blood pressure, loss of consciousness"
Pheochromocytoma (Adrenal Tumor),"sudden high blood pressure, pounding headache, excessive sweating, heart palpitations, tremor, anxiety"
Osteomyelitis (Bone Infection),"fever, pain in the affected bone, swelling, warmth, and redness over the area, fatigue"
Necrotizing Fasciitis (Flesh-Eating Bacteria),"severe, rapidly worsening pain in an area of skin, fever, red or purple skin color, blisters, eventual skin necrosis"
Cellulitis (Skin Infection),"red, swollen, warm, and tender area of skin, fever, chills, rapid spread of redness"
Abscess (Skin/Internal),"painful, swollen, pus-filled lump under the skin or inside the body, fever, surrounding redness"
Gingivitis (Chronic),"red, swollen gums that bleed easily, bad breath, receding gums"
Periodontitis (Advanced Gum Disease),"deep gum pockets, loose teeth, painful chewing, pus between teeth and gums, persistent bad breath"
Ménière's Disease (Inner Ear),"recurrent episodes of vertigo (spinning), hearing loss, ringing in the ear (tinnitus), feeling of fullness in the ear"
Otosclerosis (Ear Bone Growth),"gradual hearing loss (often starting with low sounds), tinnitus, vertigo/dizziness"
Retinitis Pigmentosa (Inherited Eye Disease),"difficulty seeing at night (nyctalopia), gradual loss of peripheral vision, eventual loss of central vision"
Keratoconus (Eye Disease),"gradual blurring of vision, increased sensitivity to light, glare, frequent changes in eyeglass prescription"
Obstructive Sleep Apnea (Severe),"extremely loud snoring, pauses in breathing during sleep, morning headaches, excessive daytime sleepiness, irritability"
Cheyne-Stokes Respiration,"abnormal pattern of breathing characterized by progressively deeper, and sometimes faster, breathing followed by a gradual decrease that results in a temporary stop in breathing (apnea)"
Narcolepsy (Cataplexy),"excessive daytime sleepiness, sudden, brief loss of muscle tone triggered by strong emotions (cataplexy), sleep paralysis, hallucinations"
Hypersomnia (Idiopathic),recurrent episodes of excessive daytime sleepiness or prolonged nighttime sleep that is not restful
Chronic Pain Syndrome,"persistent pain (lasting over 6 months) that interferes with daily life, depression, anxiety, sleep disturbances, reduced mobility, fatigue"
Complex Regional Pain Syndrome (CRPS),"continuous intense pain (usually in a limb) that is disproportionate to the injury, swelling, changes in skin color and temperature, changes in hair and nail growth"
Trigeminal Neuralgia (Atypical),"constant, aching, burning, or stabbing facial pain, rather than the classic electric shock pain"
Postherpetic Neuralgia,"burning, throbbing, or shooting pain that persists in the area of a healed shingles rash"
Phantom Limb Pain,pain perceived in a part of the body that has been amputated or is missing
Chronic Migraine,"headaches occurring 15 or more days per month for more than 3 months, with migraine features on at least 8 days per month"
Cluster Headache,"severe burning and piercing pain behind or around one eye, eye redness, tearing, nasal congestion, eyelid drooping, restlessness"
