question,answer,source_document,page_numbers,requires_multi_source
What is the medical information about general_health?,"Self-harm is when someone hurts themselves in order to try to cope with a range of emotions. 

If you’re worried ab… https://t.co/cSdE7x84Qp",kaggle_unknown,1,False
What is the medical information about general_health?,Did Robert Pattinson Ditch FKA Twigs for Katy Perry?,kaggle_unknown,1,False
What is the medical information about covid_19?,@charliedougan74 If masks are so effective against #COVID19 then why are the positive tests numbers climbing?,kaggle_unknown,1,False
What is the medical information about covid_19?,If you’re getting the #COVID19 vaccine- please have your will signed and notarized. Makes the job easier for your f… https://t.co/wUZNpsIYJL,kaggle_unknown,1,False
What is the medical information about covid_19?,"Pandemic pushes Mexico's 'lucha libre' wrestlers outdoors and online 

READ: https://t.co/d7T7UWhonN

#LuchaLibre… https://t.co/DBGqcF8bmD",kaggle_unknown,1,False
What is the medical information about covid_19?,"It is impossible to prove where a person gets #coronavirus.  @GovRonDeSantis, help Floridians avoid #COVID19 law su… https://t.co/8VYwwdnvul",kaggle_unknown,1,False
What is the medical information about covid_19?,"#Nepal has registered a total of 102 deaths from the novel #coronavirus so far, according to the Ministry of Health… https://t.co/gpHsO2sNEf",kaggle_unknown,1,False
What is the medical information about covid_19?,Just remember. If you can smell your farts you don't have the corona. #COVID19 #testing #coronavirus,kaggle_unknown,1,False
What is the medical information about covid_19?,"2020 so far 🙄😪
Do know what not to expect 😒
.
#teamakoi #staysafe  #COVID19  #2020mood #whattoexpect #nextchapter https://t.co/iR8rJkBMzT",kaggle_unknown,1,False
What is the medical information about covid_19?,@unitedchurch Science and Tech Network hosted a webinar on #COVID19 and #HVAC with Dr @WBahnfleth. It's worth watch… https://t.co/d7ND8jH7U8,kaggle_unknown,1,False
What is the medical information about covid_19?,"@realDonaldTrump Did Robert share #HermanCain's belief about #covid19?
#DidRobertTrumpDieFromCovid19 https://t.co/xP9CQUXVSX",kaggle_unknown,1,False
What is the medical information about general_health?,Vaccination and prescribed medication are the safest approach for Sarcoidosis.,synthetic_true,1,False
What is the medical information about general_health?,Vaccination and prescribed medication are the safest approach for Sarcoma (Soft Tissue).,synthetic_true,1,False
What is the medical information about general_health?,Katharine McPhee and David Foster Perform Together at Star-Studded Holiday Party,kaggle_unknown,1,False
What is the medical information about covid_19?,Todays issue features over 100 #coop #news posts https://t.co/wg5vHYXyz9 Stories collected from: @Bayonaballer #coops #covid19,kaggle_unknown,1,False
What is the medical information about general_health?,"The genome sequence is not the same as the outbreak we had at the beginning. This strain appears new to NZ.
This we… https://t.co/Ycf9yneCFU",kaggle_unknown,1,False
What is the medical information about general_health?,No herbal remedy has been proven to cure Oral Thrush.,synthetic_true,1,False
What is the medical information about general_health?,"Resilience and Emotional Well-Being Video Series: ""Getting a Good Night's Sleep"" with @AricPrather -… https://t.co/rt8h7qICXP",kaggle_unknown,1,False
What is the medical information about covid_19?,"After close to four months away from home in the Ivory Coast because of #COVID19, @bigtalentsoccer academy director… https://t.co/wfzC5dsPwL",kaggle_unknown,1,False
What is the medical information about covid_19?,#10km3x2 map #covid19 what about #asymptomatic spread https://t.co/N8C1s48rdo https://t.co/psvy1ztg5m,kaggle_unknown,1,False
What is the medical information about general_health?,"Symptoms like nausea, vomiting undigested food, early satiety require medical evaluation.",synthetic_true,1,False
What is the medical information about covid_19?,"#COVID19 taking it to whole different level, literally: traces of the virus were discovered to have traveled up the… https://t.co/1ldsvYml1Z",kaggle_unknown,1,False
What is the medical information about general_health?,"Doctors recommend evidence-based treatment for Onchocerciasis (River Blindness), not home remedies.",synthetic_true,1,False
What is the medical information about covid_19?,"latest RESTAURANTS visited by latest batch of patients: hashtags THREE &amp; FOUR (August 22, 2020; 11:24 HKT) #COVID2019 #COVID19 #HONGKONG #HK",kaggle_unknown,1,False
What is the medical information about covid_19?,#ZelenkoProtocol saves lives of #COVID19 patients. Every patient should post his/her testimony to save lives (I kno… https://t.co/WxcFrQTLGv,kaggle_unknown,1,False
What is the medical information about general_health?,2/7  67 #SARSCoV2 positive inpatients are in one of our Intensive Care Units.  Note the rest of these ICU beds are… https://t.co/PtKiK1XT97,kaggle_unknown,1,False
What is the medical information about general_health?,"Symptoms like anxiety, irritability, tremor require medical evaluation.",synthetic_true,1,False
What is the medical information about covid_19?,#corona #COVID19 #US #holiday #summer #travel #cnn Must feel like in the former #GDR ... https://t.co/38vmh6W4mi,kaggle_unknown,1,False
What is the medical information about covid_19?,"Coronavirus EXPLODES with #Gold &amp; #Silver - Breaking ALL TIME RECORDS ACROSS THE GLOBE!

Total Confirmed
16,199,931… https://t.co/ItP3Q6mq0B",kaggle_unknown,1,False
What is the medical information about covid_19?,"@Shawnrobb72 How is it that Europe &amp; Asia can deal with this pandemic, but we constantly flail from one quack to an… https://t.co/Cyo31IHHPV",kaggle_unknown,1,False
What is the medical information about general_health?,Vaccination and prescribed medication are the safest approach for Leishmaniasis (Visceral - Kala-azar).,synthetic_true,1,False
What is the medical information about general_health?,"Doctors recommend evidence-based treatment for Tetanus, not home remedies.",synthetic_true,1,False
What is the medical information about covid_19?,Discover how our #Covid19 Recovery Services can benefit your organization. https://t.co/BP1kcQRRRM #SGS #UK https://t.co/pxOTNPizu8,kaggle_unknown,1,False
What is the medical information about general_health?,Vaccination and prescribed medication are the safest approach for Hantavirus Infection.,synthetic_true,1,False
What is the medical information about general_health?,"On August 12th, join us for exciting #AMO2020 announcements &amp; hear from companies who have responded to the… https://t.co/1e5di7cEdw",kaggle_unknown,1,False
What is the medical information about general_health?,U.S. Senate conservatives propose tough restrictions on 'Dreamers',kaggle_unknown,1,False
What is the medical information about covid_19?,#COVID19 The department spokesperson Witness Tiva says the province has 3 653 registered ECD centres and the depart… https://t.co/06UxFV8tWC,kaggle_unknown,1,False
What is the medical information about general_health?,"EU updates safe travel list and reopen #borders
🇪🇺⛱
EU #Healthy #Summer 2020
Travel list excludes #US, #Russia,… https://t.co/ti1lQfUGpM",kaggle_unknown,1,False
What is the medical information about general_health?,"""Overall, we see that the curve is indeed flattening in our province"" - DA Western Cape Spokesperson on Health Wend… https://t.co/FO82wn4Nyd",kaggle_unknown,1,False
What is the medical information about covid_19?,"@markknoller If @realDonaldTrump truly doesn't believe Herman Cain didn't catch #COVID19 at his Tulsa rally, I doub… https://t.co/WgxCDnAJoQ",kaggle_unknown,1,False
What is the medical information about general_health?,"https://t.co/Bd7ZaOVxou
❇NEW❇ EAR SAVERS FOR FACEMASK DESIGNS! Works w/cochlear implants &amp; hearing aids!
Adaptive G… https://t.co/rIg1nW5Wtz",kaggle_unknown,1,False
What is the medical information about covid_19?,Take note people ‼️#important #covid19 #secondwave https://t.co/URRfKFkyd3,kaggle_unknown,1,False
What is the medical information about heart_disease?,"Kenyans lets refuse this kind of colonial period Locally made Cars with all our hearts, legs, Common sense and ance… https://t.co/115U6dV81L",kaggle_unknown,1,False
What is the medical information about covid_19?,"Artificial intelligence invents new ""recipes"" for potential #COVID19 drugs.

Read that story and more from our late… https://t.co/XEnPd9cXPn",kaggle_unknown,1,False
What is the medical information about heart_disease?,Heart Disease cannot be cured overnight; seek professional care.,synthetic_true,1,False
What is the medical information about covid_19?,#sapsFS ⚠️Bronville #SAPS closed after members tested positive for #COVID19. CSC will temporarily operate from Unit… https://t.co/im2ukR3ylR,kaggle_unknown,1,False
What is the medical information about covid_19?,"ICYMI Matt Caffrey, Nurse Endoscopist at Arrowe Park hospital, is raising funds for #COVID19 research at Liverpool… https://t.co/awxrfi1l6F",kaggle_unknown,1,False
What is the medical information about covid_19?,"Passengers cheer as ‘Karen’ is kicked off flight for refusing to wear mask
#airlines 
#coronavirus 
#covid19 
#Mask  https://t.co/3VimRsfAUb",kaggle_unknown,1,False
What is the medical information about covid_19?,"#BREAKING @GovMikeDeWine has been diagnosed with #COVID19. Listen to @wtam1100 for updates.

https://t.co/bJQ64EnNaq",kaggle_unknown,1,False
What is the medical information about covid_19?,"PSA! EVERYONE who has been to #TraderJoe's in #CastroValley ,CA. in the last 10 days HAS BEEN EXPOSED TO #COVID19 !… https://t.co/1hBcE3Weu1",kaggle_unknown,1,False
What is the medical information about covid_19?,Feeling this mom. Doing her best to protect her kids during #COVID19. #coronavirus https://t.co/FHdRPSY3j4,kaggle_unknown,1,False
What is the medical information about covid_19?,"On #Sunrise w/@RadioRicko:

— More #COVID19 fatalities
— Early voting underway; advocates call on @GovRonDeSantis t… https://t.co/aEqHhE1Gps",kaggle_unknown,1,False
What is the medical information about covid_19?,India is in a #food #crisis with #hunger #malnourishment rising due to #COVID19 #pandemic What shd be our #strategy… https://t.co/sFFnQfbXuD,kaggle_unknown,1,False
What is the medical information about general_health?,"As an industry rooted in relationships and in-person services, nonprofits faced great challenges as the world becam… https://t.co/ttWFiVYGhs",kaggle_unknown,1,False
What is the medical information about covid_19?,The latest The CCTA Watchdog! https://t.co/9ohIxd3VtN Thanks to @dhershiser @JDFernandes @nhl16guy #oann #covid19,kaggle_unknown,1,False
What is the medical information about covid_19?,"Acting like a teenage brat during the pandemic? It's normal, experts say.
 https://t.co/aqCM13Ujqo

#anger… https://t.co/e80kRAwfg3",kaggle_unknown,1,False
What is the medical information about general_health?,No herbal remedy has been proven to cure Burnout Syndrome.,synthetic_true,1,False
What is the medical information about general_health?,Body Dysmorphic Disorder (BDD) cannot be cured overnight; seek professional care.,synthetic_true,1,False
What is the medical information about general_health?,"Symptoms like fatigue, joint pain, nausea require medical evaluation.",synthetic_true,1,False
What is the medical information about covid_19?,A letter from a consultant at a hospital in Surrey claims that hospitals are empty and that there is no pandemic.,kaggle_unknown,1,False
What is the medical information about covid_19?,"August 16th in the evening: there are 7,873 new cases today in California.  #COVID19 #COVID19california https://t.co/9ARnkgE3II",kaggle_unknown,1,False
What is the medical information about general_health?,"@chrischirp @carolecadwalla 
Just waiting for @ProfKarolSikora 
to explain how these numbers are a sign that the wo… https://t.co/hLA2c8jFe1",kaggle_unknown,1,False
What is the medical information about general_health?,How CBD Tackles Severe Lung Inflammation - https://t.co/JOmKgm6KVG https://t.co/9Vq7xHki0T via @OregonNews… https://t.co/lsmvHdXHqh,kaggle_unknown,1,False
What is the medical information about covid_19?,"Coronavirus Update:
☣️️ Total cases: 20,528,680 (+3,528) ☣️️
⚠️ Current cases: 6,333,554 (+359) ⚠️
⚰️ Deaths: 746,0… https://t.co/0o7llsvzC2",kaggle_unknown,1,False
What is the medical information about nutrition?,"Good Nutrition and enough exercise will help you fight obesity. 
#BBNajia #ManCityOL #UsikuSacco #OwambeWithLaycon… https://t.co/nx9e4WRK8E",kaggle_unknown,1,False
What is the medical information about covid_19?,Shocking #COVID19 https://t.co/80jlFYLYV3,kaggle_unknown,1,False
What is the medical information about general_health?,"#FocusInLife #MondayMotivation
Being focused means that you have clear goals and objectives and your work is dedica… https://t.co/08ohHaBc05",kaggle_unknown,1,False
What is the medical information about general_health?,Vaccination and prescribed medication are the safest approach for Ulcerative Colitis.,synthetic_true,1,False
What is the medical information about covid_19?,Report: Marlins' Game vs. Orioles Canceled Amid COVID-19 Outbreak Within Team #covid19 #CoronavirusOutbreak https://t.co/Afqr2yECxi,kaggle_unknown,1,False
What is the medical information about general_health?,"@boutiqueheather @TimWardCam It isn’t the BBC I think, but the government that decides these fees. Gave MPs a rise… https://t.co/ZMzPYVaDx3",kaggle_unknown,1,False
What is the medical information about general_health?,"Israeli troops kill four Palestinians, wound 160 in protests over Jerusalem",kaggle_unknown,1,False
What is the medical information about general_health?,15 Natural Home Remedies for Acid Reflux,kaggle_unknown,1,False
What is the medical information about general_health?,"Dhara Tanna, Senior Vice President, @FitternityIndia writes the #Fitnessindustry hit a major roadblock due to the o… https://t.co/olDVmCqvgP",kaggle_unknown,1,False
What is the medical information about covid_19?,"Remdesivir available in Nepal to help treat COVID-19 patients https://t.co/7yQXfvJRUm

#Remdesivir #Nepal #Covid19 #NVAustralia",kaggle_unknown,1,False
What is the medical information about covid_19?,Our biggest event of the year – the Annual Protsahan Awards went virtual due to the #COVID19 pandemic.  Hearty cong… https://t.co/6tstREyg4U,kaggle_unknown,1,False
What is the medical information about covid_19?,#CoronavirusNewsDesk – North Texas Business Hires Security To Deal With Fights Over Wearing Masks During #COVID19 … https://t.co/aICzDMsFSY,kaggle_unknown,1,False
What is the medical information about covid_19?,"18 Studies on Vitamin D and #Covid19. It looks like vitamin D might help. Not a cure. Not a treatment. But helpful,… https://t.co/gqkwgQUDuA",kaggle_unknown,1,False
What is the medical information about general_health?,"Trump says he is willing work with Democrats on healthcare, taxes: lawmaker",kaggle_unknown,1,False
What is the medical information about covid_19?,"""Thousands march in #Berlin to protest #COVID19 restrictions""  #BerlinProtests https://t.co/UXWfL9vREw",kaggle_unknown,1,False
